id,data,consumo,potencia,tempo_ligado
1,2023-05-08,13.39,3671.87,3 horas 5 minutos
1,2023-05-09,11.76,2478.94,4 horas 24 minutos
1,2023-05-10,14.16,3446.67,3 horas 15 minutos
1,2023-05-11,9.68,2442.57,4 horas 19 minutos
1,2023-05-12,14.04,3074.99,4 horas 22 minutos
1,2023-05-13,10.94,2701.83,2 horas 0 minutos
1,2023-05-14,14.09,2725.29,1 horas 31 minutos
1,2023-05-15,11.11,2177.43,1 horas 56 minutos
1,2023-05-16,9.47,2542.8,1 horas 56 minutos
1,2023-05-17,12.8,2084.47,4 horas 4 minutos
1,2023-05-18,7.05,2363.25,3 horas 24 minutos
1,2023-05-19,14.02,2668.51,3 horas 42 minutos
1,2023-05-20,8.54,2227.5,2 horas 47 minutos
1,2023-05-21,14.58,2360.56,1 horas 45 minutos
1,2023-05-22,13.16,3765.28,3 horas 37 minutos
1,2023-05-23,5.42,2011.95,4 horas 16 minutos
1,2023-05-24,9.6,3635.56,2 horas 4 minutos
1,2023-05-25,11.12,3447.67,4 horas 35 minutos
1,2023-05-26,14.62,2676.46,2 horas 18 minutos
1,2023-05-27,13.67,2871.33,2 horas 22 minutos
1,2023-05-28,6.43,2834.01,1 horas 47 minutos
1,2023-05-29,12.15,2912.3,3 horas 8 minutos
1,2023-05-30,10.21,3395.82,3 horas 28 minutos
1,2023-05-31,12.49,2283.29,1 horas 35 minutos
1,2023-06-01,6.61,2427.16,3 horas 19 minutos
1,2023-06-02,6.29,2052.8,1 horas 31 minutos
1,2023-06-03,7.63,2047.91,1 horas 11 minutos
1,2023-06-04,11.95,2073.78,1 horas 45 minutos
1,2023-06-05,11.73,3174.64,4 horas 38 minutos
1,2023-06-06,7.58,2992.43,3 horas 55 minutos
1,2023-06-07,12.64,2709.72,3 horas 31 minutos
1,2023-06-08,11.34,2160.57,1 horas 3 minutos
1,2023-06-09,5.37,2342.37,2 horas 30 minutos
1,2023-06-10,13.51,2073.32,2 horas 9 minutos
1,2023-06-11,12.68,3790.54,2 horas 43 minutos
1,2023-06-12,14.95,3536.64,4 horas 58 minutos
1,2023-06-13,7.05,2076.33,3 horas 22 minutos
1,2023-06-14,12.51,2446.52,2 horas 51 minutos
1,2023-06-15,10.77,2458.05,2 horas 10 minutos
1,2023-06-16,8.28,3853.74,2 horas 0 minutos
1,2023-06-17,14.56,2310.24,1 horas 51 minutos
1,2023-06-18,13.25,2291.44,4 horas 2 minutos
1,2023-06-19,7.94,3486.96,1 horas 48 minutos
1,2023-06-20,8.96,3392.34,4 horas 13 minutos
1,2023-06-21,6.57,2762.85,2 horas 11 minutos
1,2023-06-22,11.28,2700.43,3 horas 58 minutos
1,2023-06-23,5.61,2693.56,4 horas 42 minutos
1,2023-06-24,10.7,3274.64,1 horas 49 minutos
1,2023-06-25,10.23,2590.35,4 horas 54 minutos
1,2023-06-26,9.38,3545.51,4 horas 16 minutos
1,2023-06-27,11.54,3862.75,1 horas 38 minutos
1,2023-06-28,9.03,3245.41,4 horas 4 minutos
1,2023-06-29,11.56,2339.14,3 horas 13 minutos
1,2023-06-30,11.73,3533.56,4 horas 14 minutos
1,2023-07-01,9.59,3852.37,3 horas 3 minutos
1,2023-07-02,9.78,3338.3,1 horas 46 minutos
1,2023-07-03,10.27,2218.86,3 horas 4 minutos
1,2023-07-04,6.63,2218.51,3 horas 11 minutos
1,2023-07-05,7.55,3952.61,3 horas 25 minutos
1,2023-07-06,14.56,2179.33,1 horas 16 minutos
1,2023-07-07,13.73,3305.08,3 horas 55 minutos
1,2023-07-08,11.26,2543.24,4 horas 54 minutos
1,2023-07-09,6.71,3886.97,3 horas 18 minutos
1,2023-07-10,9.01,2764.09,4 horas 4 minutos
1,2023-07-11,10.62,3810.95,4 horas 26 minutos
1,2023-07-12,6.72,3330.68,3 horas 56 minutos
1,2023-07-13,11.45,3612.13,1 horas 25 minutos
1,2023-07-14,7.13,3378.37,1 horas 57 minutos
1,2023-07-15,12.6,3128.44,3 horas 40 minutos
1,2023-07-16,5.16,3817.6,1 horas 38 minutos
1,2023-07-17,10.95,2378.71,2 horas 44 minutos
1,2023-07-18,13.99,3172.02,2 horas 16 minutos
1,2023-07-19,5.48,3850.15,4 horas 6 minutos
1,2023-07-20,7.17,2822.62,3 horas 50 minutos
1,2023-07-21,14.86,3841.22,3 horas 0 minutos
1,2023-07-22,9.02,3861.09,4 horas 56 minutos
1,2023-07-23,14.71,3179.41,4 horas 11 minutos
1,2023-07-24,13.65,2512.43,3 horas 29 minutos
1,2023-07-25,10.91,2144.53,4 horas 16 minutos
1,2023-07-26,12.95,2281.76,2 horas 4 minutos
1,2023-07-27,5.23,3744.55,1 horas 33 minutos
1,2023-07-28,7.1,2661.94,3 horas 51 minutos
1,2023-07-29,13.52,2096.05,4 horas 21 minutos
1,2023-07-30,13.45,2790.24,1 horas 48 minutos
1,2023-07-31,10.5,3018.59,2 horas 41 minutos
1,2023-08-01,6.42,3566.99,2 horas 0 minutos
1,2023-08-02,6.91,2883.55,2 horas 18 minutos
1,2023-08-03,7.73,2232.24,3 horas 44 minutos
1,2023-08-04,6.66,2738.34,3 horas 36 minutos
1,2023-08-05,10.69,2160.32,2 horas 36 minutos
1,2023-08-06,13.02,2879.19,3 horas 0 minutos
1,2023-08-07,11.79,3499.56,2 horas 53 minutos
1,2023-08-08,5.74,3784.84,1 horas 49 minutos
1,2023-08-09,12.63,3291.87,1 horas 38 minutos
1,2023-08-10,12.75,3853.86,2 horas 53 minutos
1,2023-08-11,7.32,2665.84,3 horas 40 minutos
1,2023-08-12,10.65,3605.25,3 horas 42 minutos
1,2023-08-13,12.93,2323.59,4 horas 47 minutos
1,2023-08-14,6.75,2880.42,4 horas 25 minutos
1,2023-08-15,11.86,2484.98,3 horas 37 minutos
1,2023-08-16,11.87,2198.19,2 horas 28 minutos
1,2023-08-17,9.39,2380.79,3 horas 2 minutos
1,2023-08-18,13.19,3875.66,2 horas 45 minutos
1,2023-08-19,11.71,2313.27,2 horas 47 minutos
1,2023-08-20,13.44,2069.0,2 horas 46 minutos
1,2023-08-21,7.26,2230.74,2 horas 49 minutos
1,2023-08-22,11.65,2874.32,2 horas 51 minutos
1,2023-08-23,13.21,2164.16,3 horas 38 minutos
1,2023-08-24,6.58,3977.71,4 horas 13 minutos
1,2023-08-25,11.36,2811.91,4 horas 36 minutos
1,2023-08-26,13.15,3872.55,1 horas 45 minutos
1,2023-08-27,11.82,3418.47,4 horas 24 minutos
1,2023-08-28,12.04,2391.33,2 horas 13 minutos
1,2023-08-29,13.59,2927.79,1 horas 43 minutos
1,2023-08-30,5.21,2510.7,2 horas 30 minutos
1,2023-08-31,6.2,3366.28,3 horas 13 minutos
1,2023-09-01,12.11,2531.9,2 horas 43 minutos
1,2023-09-02,13.81,3599.15,2 horas 40 minutos
1,2023-09-03,12.16,3074.46,2 horas 19 minutos
1,2023-09-04,13.1,3601.62,1 horas 33 minutos
1,2023-09-05,8.31,3233.68,3 horas 52 minutos
1,2023-09-06,10.91,3223.18,2 horas 18 minutos
1,2023-09-07,14.99,2652.38,1 horas 31 minutos
1,2023-09-08,14.52,2953.46,4 horas 0 minutos
1,2023-09-09,13.94,3721.38,2 horas 29 minutos
1,2023-09-10,5.02,3798.87,3 horas 46 minutos
1,2023-09-11,11.74,2032.97,1 horas 6 minutos
1,2023-09-12,7.6,2472.61,3 horas 23 minutos
1,2023-09-13,14.31,3433.29,4 horas 48 minutos
1,2023-09-14,10.01,3102.06,2 horas 47 minutos
1,2023-09-15,9.25,3098.58,3 horas 48 minutos
1,2023-09-16,14.42,2375.7,4 horas 5 minutos
1,2023-09-17,13.95,2770.94,1 horas 22 minutos
1,2023-09-18,13.27,3707.11,2 horas 8 minutos
1,2023-09-19,9.79,2161.72,2 horas 32 minutos
1,2023-09-20,12.77,3847.82,2 horas 16 minutos
1,2023-09-21,10.2,2922.14,2 horas 24 minutos
1,2023-09-22,12.34,3392.93,1 horas 16 minutos
1,2023-09-23,6.2,3979.46,2 horas 43 minutos
1,2023-09-24,10.53,3075.47,1 horas 36 minutos
1,2023-09-25,12.22,3556.78,4 horas 20 minutos
1,2023-09-26,13.35,3352.44,2 horas 11 minutos
1,2023-09-27,13.27,2904.33,3 horas 52 minutos
1,2023-09-28,14.04,2234.14,1 horas 25 minutos
1,2023-09-29,9.93,2851.38,1 horas 34 minutos
1,2023-09-30,7.84,2591.79,3 horas 9 minutos
1,2023-10-01,9.49,3890.84,4 horas 32 minutos
1,2023-10-02,14.43,3065.88,2 horas 21 minutos
1,2023-10-03,11.01,2428.64,2 horas 37 minutos
1,2023-10-04,10.74,2206.53,4 horas 40 minutos
1,2023-10-05,7.18,3582.94,2 horas 12 minutos
1,2023-10-06,5.54,2181.51,1 horas 48 minutos
1,2023-10-07,12.72,2904.46,3 horas 37 minutos
1,2023-10-08,5.25,3918.25,1 horas 11 minutos
1,2023-10-09,7.1,2217.93,4 horas 47 minutos
1,2023-10-10,5.21,3630.51,1 horas 42 minutos
1,2023-10-11,11.98,2179.37,1 horas 58 minutos
1,2023-10-12,10.76,3464.42,2 horas 37 minutos
1,2023-10-13,6.02,2181.44,2 horas 42 minutos
1,2023-10-14,7.52,2428.78,2 horas 42 minutos
1,2023-10-15,9.02,2415.94,1 horas 10 minutos
1,2023-10-16,14.0,2064.14,2 horas 18 minutos
1,2023-10-17,7.32,2628.27,3 horas 8 minutos
1,2023-10-18,14.21,2729.23,3 horas 8 minutos
1,2023-10-19,6.79,2020.79,2 horas 17 minutos
1,2023-10-20,13.35,3067.51,1 horas 31 minutos
1,2023-10-21,12.08,3146.72,1 horas 3 minutos
1,2023-10-22,11.31,2484.2,4 horas 48 minutos
1,2023-10-23,10.98,3216.57,2 horas 32 minutos
1,2023-10-24,12.61,3446.52,2 horas 47 minutos
1,2023-10-25,9.81,3887.65,2 horas 29 minutos
1,2023-10-26,11.42,3948.83,3 horas 6 minutos
1,2023-10-27,13.48,2003.46,3 horas 56 minutos
1,2023-10-28,14.31,3804.06,2 horas 51 minutos
1,2023-10-29,6.36,3167.61,3 horas 5 minutos
1,2023-10-30,7.67,2613.66,4 horas 40 minutos
1,2023-10-31,6.23,2330.2,4 horas 26 minutos
1,2023-11-01,11.84,2997.05,3 horas 45 minutos
1,2023-11-02,11.61,3841.89,2 horas 28 minutos
1,2023-11-03,14.25,2361.07,2 horas 0 minutos
1,2023-11-04,9.79,3482.41,3 horas 28 minutos
1,2023-11-05,14.62,3891.68,4 horas 52 minutos
1,2023-11-06,11.05,2864.6,2 horas 47 minutos
1,2023-11-07,5.95,3410.19,3 horas 40 minutos
1,2023-11-08,13.02,3164.35,3 horas 9 minutos
1,2023-11-09,11.66,2666.08,1 horas 34 minutos
1,2023-11-10,5.82,3346.23,3 horas 42 minutos
1,2023-11-11,5.18,2367.77,2 horas 35 minutos
1,2023-11-12,11.6,2565.82,4 horas 47 minutos
1,2023-11-13,14.97,3270.48,2 horas 36 minutos
1,2023-11-14,8.65,2624.33,1 horas 53 minutos
1,2023-11-15,5.1,2969.58,3 horas 39 minutos
1,2023-11-16,11.37,2409.87,3 horas 24 minutos
1,2023-11-17,6.55,2314.8,3 horas 24 minutos
1,2023-11-18,12.55,2821.54,2 horas 31 minutos
1,2023-11-19,11.4,2787.45,4 horas 43 minutos
1,2023-11-20,11.79,3336.04,4 horas 15 minutos
1,2023-11-21,13.14,3579.9,2 horas 59 minutos
1,2023-11-22,13.63,2990.36,3 horas 4 minutos
1,2023-11-23,7.24,3668.15,3 horas 3 minutos
1,2023-11-24,6.53,2979.58,2 horas 53 minutos
1,2023-11-25,12.37,3482.65,3 horas 34 minutos
1,2023-11-26,14.4,3155.81,3 horas 40 minutos
1,2023-11-27,11.96,3707.55,2 horas 4 minutos
1,2023-11-28,14.56,2235.86,1 horas 7 minutos
1,2023-11-29,11.2,2372.34,1 horas 59 minutos
1,2023-11-30,9.01,3154.81,3 horas 40 minutos
1,2023-12-01,12.39,2269.21,2 horas 11 minutos
1,2023-12-02,13.26,3924.96,2 horas 47 minutos
1,2023-12-03,7.63,3481.85,4 horas 29 minutos
1,2023-12-04,12.8,2462.13,4 horas 23 minutos
1,2023-12-05,7.3,3046.36,2 horas 58 minutos
1,2023-12-06,5.24,3704.99,4 horas 22 minutos
1,2023-12-07,14.12,2841.58,4 horas 48 minutos
1,2023-12-08,6.93,3246.58,3 horas 8 minutos
1,2023-12-09,10.53,3298.59,4 horas 18 minutos
1,2023-12-10,14.28,2088.99,2 horas 36 minutos
1,2023-12-11,12.65,3202.3,4 horas 8 minutos
1,2023-12-12,14.43,3938.45,4 horas 4 minutos
1,2023-12-13,7.06,3317.23,3 horas 11 minutos
1,2023-12-14,12.02,3019.46,2 horas 30 minutos
1,2023-12-15,8.72,3229.71,2 horas 32 minutos
1,2023-12-16,8.68,2495.33,2 horas 47 minutos
1,2023-12-17,13.18,3274.44,4 horas 52 minutos
1,2023-12-18,9.31,3378.45,1 horas 58 minutos
1,2023-12-19,9.31,3690.02,2 horas 13 minutos
1,2023-12-20,9.25,3523.04,4 horas 26 minutos
1,2023-12-21,11.96,2845.52,4 horas 23 minutos
1,2023-12-22,14.98,3814.95,3 horas 52 minutos
1,2023-12-23,10.23,2428.59,4 horas 40 minutos
1,2023-12-24,8.08,2705.44,3 horas 3 minutos
1,2023-12-25,7.61,2766.89,4 horas 18 minutos
1,2023-12-26,14.63,3250.1,1 horas 34 minutos
1,2023-12-27,5.57,2703.43,3 horas 1 minutos
1,2023-12-28,14.08,2639.79,3 horas 25 minutos
1,2023-12-29,13.83,3862.05,2 horas 59 minutos
1,2023-12-30,13.71,3153.14,3 horas 21 minutos
1,2023-12-31,6.77,2616.21,4 horas 52 minutos
2,2023-01-01,7.65,2656.68,2 horas 18 minutos
2,2023-01-02,8.71,2480.12,3 horas 28 minutos
2,2023-01-03,7.3,2833.49,1 horas 6 minutos
2,2023-01-04,7.92,3367.87,4 horas 35 minutos
2,2023-01-05,5.6,3467.8,3 horas 45 minutos
2,2023-01-06,11.66,3284.03,3 horas 20 minutos
2,2023-01-07,7.22,3972.86,4 horas 38 minutos
2,2023-01-08,11.53,3874.58,2 horas 23 minutos
2,2023-01-09,5.17,2947.07,1 horas 32 minutos
2,2023-01-10,7.97,2464.7,4 horas 15 minutos
2,2023-01-11,6.47,2856.54,3 horas 34 minutos
2,2023-01-12,6.19,2305.5,2 horas 49 minutos
2,2023-01-13,13.03,2279.62,1 horas 16 minutos
2,2023-01-14,5.79,3404.73,4 horas 44 minutos
2,2023-01-15,14.55,2913.62,4 horas 53 minutos
2,2023-01-16,7.58,2686.55,4 horas 14 minutos
2,2023-01-17,13.81,2156.39,2 horas 1 minutos
2,2023-01-18,9.92,3282.42,2 horas 12 minutos
2,2023-01-19,13.99,3327.32,2 horas 28 minutos
2,2023-01-20,8.42,3942.97,3 horas 49 minutos
2,2023-01-21,11.22,3692.1,3 horas 28 minutos
2,2023-01-22,5.08,3811.96,3 horas 9 minutos
2,2023-01-23,11.67,2644.85,3 horas 22 minutos
2,2023-01-24,7.28,3841.75,2 horas 41 minutos
2,2023-01-25,10.67,3593.57,1 horas 46 minutos
2,2023-01-26,8.05,3236.54,2 horas 40 minutos
2,2023-01-27,11.06,3257.83,3 horas 9 minutos
2,2023-01-28,9.44,2092.55,4 horas 59 minutos
2,2023-01-29,12.93,2431.98,4 horas 0 minutos
2,2023-01-30,14.57,2860.23,3 horas 29 minutos
2,2023-01-31,13.92,3245.62,2 horas 27 minutos
2,2023-02-01,5.67,3823.2,2 horas 50 minutos
2,2023-02-02,5.56,2048.28,2 horas 36 minutos
2,2023-02-03,6.78,2713.9,1 horas 18 minutos
2,2023-02-04,8.47,3259.27,4 horas 37 minutos
2,2023-02-05,5.21,2356.34,3 horas 52 minutos
2,2023-02-06,14.65,3545.47,1 horas 59 minutos
2,2023-02-07,9.76,2415.39,3 horas 7 minutos
2,2023-02-08,11.71,3130.81,4 horas 22 minutos
2,2023-02-09,12.4,2212.19,3 horas 24 minutos
2,2023-02-10,7.13,3456.77,1 horas 42 minutos
2,2023-02-11,7.44,3491.19,1 horas 23 minutos
2,2023-02-12,5.54,2032.35,1 horas 0 minutos
2,2023-02-13,13.73,3895.9,2 horas 30 minutos
2,2023-02-14,7.55,3900.49,1 horas 42 minutos
2,2023-02-15,5.85,2288.74,3 horas 37 minutos
2,2023-02-16,11.23,2050.6,4 horas 41 minutos
2,2023-02-17,8.98,3268.02,1 horas 37 minutos
2,2023-02-18,5.02,2670.73,4 horas 23 minutos
2,2023-02-19,14.61,3795.58,3 horas 21 minutos
2,2023-02-20,10.8,3578.64,2 horas 53 minutos
2,2023-02-21,11.02,3836.64,2 horas 31 minutos
2,2023-02-22,7.09,2735.98,4 horas 7 minutos
2,2023-02-23,11.15,2141.03,3 horas 34 minutos
2,2023-02-24,9.16,3171.82,1 horas 8 minutos
2,2023-02-25,8.78,2073.55,4 horas 47 minutos
2,2023-02-26,11.3,2936.58,2 horas 42 minutos
2,2023-02-27,10.17,3306.77,1 horas 56 minutos
2,2023-02-28,5.37,3669.64,1 horas 47 minutos
2,2023-03-01,5.04,2002.56,3 horas 37 minutos
2,2023-03-02,9.46,3477.14,2 horas 5 minutos
2,2023-03-03,10.27,3919.86,3 horas 56 minutos
2,2023-03-04,11.08,3600.3,1 horas 39 minutos
2,2023-03-05,7.84,2231.48,2 horas 47 minutos
2,2023-03-06,14.1,3204.88,2 horas 57 minutos
2,2023-03-07,8.37,2019.48,3 horas 33 minutos
2,2023-03-08,10.49,2858.33,2 horas 35 minutos
2,2023-03-09,12.98,2937.07,1 horas 31 minutos
2,2023-03-10,8.86,2284.87,4 horas 4 minutos
2,2023-03-11,10.13,2224.39,1 horas 16 minutos
2,2023-03-12,6.85,3511.18,4 horas 23 minutos
2,2023-03-13,12.64,3435.57,3 horas 48 minutos
2,2023-03-14,10.38,3375.23,1 horas 22 minutos
2,2023-03-15,8.95,2034.93,4 horas 11 minutos
2,2023-03-16,7.36,3580.5,2 horas 41 minutos
2,2023-03-17,7.8,3801.28,4 horas 12 minutos
2,2023-03-18,7.7,2390.19,4 horas 17 minutos
2,2023-03-19,12.51,2846.08,3 horas 34 minutos
2,2023-03-20,8.13,3121.34,4 horas 36 minutos
2,2023-03-21,5.22,3219.3,2 horas 51 minutos
2,2023-03-22,5.35,2764.83,2 horas 51 minutos
2,2023-03-23,5.59,3926.41,3 horas 15 minutos
2,2023-03-24,5.2,2736.49,4 horas 44 minutos
2,2023-03-25,11.72,2274.01,3 horas 29 minutos
2,2023-03-26,13.25,2714.76,4 horas 0 minutos
2,2023-03-27,7.14,2243.08,2 horas 8 minutos
2,2023-03-28,14.72,2483.99,4 horas 17 minutos
2,2023-03-29,13.21,3744.34,4 horas 33 minutos
2,2023-03-30,9.34,2186.68,4 horas 40 minutos
2,2023-03-31,9.18,3524.99,1 horas 21 minutos
2,2023-04-01,5.66,3030.76,3 horas 45 minutos
2,2023-04-02,8.79,2797.14,2 horas 58 minutos
2,2023-04-03,12.9,2195.41,4 horas 48 minutos
2,2023-04-04,5.29,3832.04,3 horas 41 minutos
2,2023-04-05,7.5,3598.78,1 horas 42 minutos
2,2023-04-06,5.47,2285.55,3 horas 55 minutos
2,2023-04-07,5.56,3915.79,3 horas 40 minutos
2,2023-04-08,10.28,2134.45,4 horas 31 minutos
2,2023-04-09,11.82,3351.93,3 horas 48 minutos
2,2023-04-10,14.75,3025.69,3 horas 56 minutos
2,2023-04-11,8.03,2227.35,1 horas 50 minutos
2,2023-04-12,10.86,2702.5,3 horas 14 minutos
2,2023-04-13,8.47,2479.25,1 horas 46 minutos
2,2023-04-14,8.7,3467.28,3 horas 26 minutos
2,2023-04-15,11.78,3108.09,2 horas 40 minutos
2,2023-04-16,5.15,2600.7,2 horas 21 minutos
2,2023-04-17,11.32,2882.44,1 horas 23 minutos
2,2023-04-18,9.99,3803.65,3 horas 26 minutos
2,2023-04-19,5.82,3518.76,1 horas 31 minutos
2,2023-04-20,14.65,2830.05,1 horas 28 minutos
2,2023-04-21,14.44,2066.6,3 horas 57 minutos
2,2023-04-22,14.79,2660.46,3 horas 5 minutos
2,2023-04-23,5.72,3011.28,2 horas 34 minutos
2,2023-04-24,7.73,2464.26,1 horas 52 minutos
2,2023-04-25,5.41,2328.16,4 horas 7 minutos
2,2023-04-26,10.55,3008.78,2 horas 44 minutos
